condition,trust,perceived_verif,adopt_wrong,clicked_source
C2_fake,3.523,5.977,1,0
C2_fake,3.980,1.727,0,0
C2_fake,5.171,3.656,1,0
C2_fake,4.492,2.576,1,0
C2_fake,5.062,3.609,1,0
C2_fake,5.098,4.897,0,1
C2_fake,6.153,4.385,0,0
C2_fake,4.323,4.296,0,0
C2_fake,3.075,4.409,1,0
C2_fake,5.874,4.844,1,0
C2_fake,4.335,3.390,1,0
C2_fake,5.926,5.448,1,0
C2_fake,5.122,5.395,0,1
C2_fake,4.556,5.062,0,0
C2_fake,5.084,5.268,1,0
C2_fake,6.846,4.956,1,0
C2_fake,6.985,7.000,0,0
C2_fake,4.776,4.495,1,0
C2_fake,4.876,4.232,1,0
C2_fake,5.884,3.696,1,0
C2_fake,3.770,3.361,1,0
C2_fake,5.066,3.107,1,0
C2_fake,4.672,3.533,1,1
C2_fake,5.045,4.515,1,0
C2_fake,3.783,5.001,1,0
C2_fake,2.951,4.661,1,0
C2_fake,2.420,3.681,1,0
C2_fake,3.471,5.680,0,0
C2_fake,4.195,5.487,0,0
C2_fake,4.377,4.408,1,0
C2_fake,6.831,3.817,1,0
C2_fake,5.917,5.258,0,1
C2_fake,3.642,4.826,1,0
C2_fake,5.082,2.862,1,0
C2_fake,4.252,4.518,0,0
C2_fake,4.387,4.914,1,0
C2_fake,4.904,3.520,0,0
C2_fake,5.381,4.828,1,0
C2_fake,4.327,2.854,1,0
C2_fake,5.870,6.203,1,0
C2_fake,3.444,6.098,1,0
C2_fake,4.707,4.297,1,0
C2_fake,7.000,5.036,1,0
C2_fake,4.945,1.708,0,0
C2_fake,6.277,3.212,1,1
C2_fake,4.801,4.247,1,0
C2_fake,5.339,3.313,0,0
C2_fake,4.638,5.457,0,0
C2_fake,4.513,6.997,1,0
C2_fake,3.843,3.188,1,0
C2_fake,5.173,3.595,0,0
C2_fake,3.763,4.883,0,0
C2_fake,5.432,6.533,0,1
C2_fake,5.894,3.133,0,1
C2_fake,5.103,4.899,0,1
C3_real,3.511,5.983,1,0
C3_real,3.597,5.549,0,0
C3_real,5.118,5.858,0,0
C3_real,6.169,3.415,1,0
C3_real,4.326,5.497,0,0
C3_real,2.048,4.737,1,1
C3_real,2.926,4.521,1,0
C3_real,3.884,6.145,0,0
C3_real,4.186,6.875,1,0
C3_real,4.351,7.000,0,0
C3_real,4.842,6.678,0,0
C3_real,4.457,4.968,0,0
C3_real,5.954,5.523,0,0
C3_real,4.056,6.020,1,1
C3_real,3.851,5.245,1,1
C3_real,5.327,5.257,0,1
C3_real,3.111,6.089,0,0
C3_real,5.229,5.029,1,0
C3_real,4.913,4.225,1,1
C3_real,4.638,4.603,1,0
C3_real,6.547,5.861,1,0
C3_real,4.116,5.104,0,0
C3_real,7.000,5.508,1,0
C3_real,4.552,5.904,0,0
C3_real,3.395,4.650,0,1
C3_real,4.877,6.007,0,0
C3_real,3.616,5.555,1,0
C3_real,3.973,3.618,1,0
C3_real,5.237,6.831,0,0
C3_real,5.411,4.499,0,0
C3_real,4.116,3.114,1,0
C3_real,5.886,3.846,0,1
C3_real,6.073,3.875,1,0
C3_real,6.380,5.163,0,0
C3_real,5.382,4.771,1,1
C3_real,6.300,4.696,1,0
C3_real,2.731,5.844,0,0
C3_real,4.450,5.508,1,0
C3_real,3.846,5.479,1,0
C3_real,4.931,5.592,1,0
C3_real,4.171,5.839,1,0
C3_real,4.617,2.570,0,0
C3_real,6.870,4.663,1,0
C3_real,4.613,2.484,0,0
C3_real,5.255,5.143,0,0
C3_real,4.545,5.094,1,0
C3_real,4.883,6.355,1,0
C3_real,4.807,6.525,0,0
C3_real,5.293,5.343,0,0
C3_real,6.082,4.500,0,0
C3_real,6.612,5.682,0,0
C3_real,5.141,4.466,1,1
C3_real,5.449,5.098,1,0
C3_real,3.534,6.283,0,0
C3_real,4.703,4.431,1,1
C3_real,5.834,6.067,0,0
C3_real,5.753,5.913,1,0
C3_real,5.033,3.954,0,1
C3_real,5.775,6.269,1,0
C3_real,5.340,5.938,1,0
C3_real,6.120,5.222,1,0
C3_real,5.118,4.185,1,0
C3_real,4.409,4.069,0,0
C3_real,5.169,4.455,1,1
C3_real,1.576,5.751,1,1
C3_real,5.221,3.953,1,0
C3_real,1.000,5.625,1,0
C3_real,2.904,3.610,0,0
C3_real,5.297,4.855,1,1
C3_real,5.325,5.232,0,0
C3_real,3.521,7.000,1,1
C3_real,4.017,3.447,0,1
C3_real,6.308,6.866,1,0
C3_real,4.268,5.280,1,0
C3_real,7.000,5.593,0,1
C3_real,4.798,5.242,0,0
C3_real,5.249,5.634,0,0
C3_real,6.579,4.916,1,1
C3_real,4.944,6.845,1,0
C3_real,3.697,4.552,0,0
C3_real,4.679,6.459,1,0
C3_real,4.761,4.327,0,0
C3_real,3.299,5.028,0,1
C3_real,4.519,3.814,0,0
C3_real,3.984,5.646,0,0
C3_real,5.817,6.834,0,0
C3_real,4.838,5.007,1,1
C3_real,4.489,4.864,1,0
C3_real,4.683,3.762,0,1
C3_real,5.045,4.825,1,0
C3_real,5.478,3.189,1,1
C3_real,3.700,4.005,1,1
C3_real,3.654,5.372,0,1
C3_real,6.015,6.683,0,1
C3_real,4.346,7.000,0,0
C3_real,3.241,4.396,1,0
C3_real,5.288,6.822,1,0
C3_real,5.310,5.393,0,0
C3_real,3.116,4.919,1,1
C3_real,5.052,5.619,0,1
