condition,trust,perceived_verif,confidence,adopt_wrong,clicked_source
C3_real,3.297,5.397,3.866,0,0
C3_real,2.937,4.116,4.282,0,0
C3_real,3.34,4.215,4.597,1,0
C3_real,4.668,4.63,4.731,0,0
C3_real,4.44,4.416,4.812,0,0
C3_real,2.984,3.586,4.552,1,0
C3_real,4.041,5.516,5.336,1,0
C3_real,4.393,4.107,4.666,0,0
C3_real,4.835,5.871,4.536,0,0
C3_real,5.241,4.883,5.034,1,0
C3_real,3.828,5.22,4.909,1,0
C3_real,4.388,5.192,3.167,0,0
C3_real,3.454,4.663,5.271,1,0
C3_real,5.388,4.967,6.136,0,0
C3_real,5.396,5.251,4.803,1,0
C3_real,5.64,7.0,5.327,1,0
C3_real,4.741,3.719,4.048,0,0
C3_real,5.329,4.33,5.306,0,0
C3_real,5.528,4.661,4.132,1,1
C3_real,5.368,3.744,4.921,1,1
C3_real,3.295,3.663,4.781,1,0
C3_real,3.136,3.431,3.657,1,0
C3_real,5.524,4.991,3.926,1,0
C3_real,3.878,4.487,4.173,0,0
C3_real,3.038,5.224,3.813,1,0
C3_real,3.477,3.546,4.102,1,0
C3_real,4.952,4.108,3.806,0,0
C3_real,4.451,6.0,5.441,1,0
C3_real,5.425,5.83,4.573,0,0
C3_real,4.066,3.403,4.843,0,1
C3_real,3.67,5.906,3.102,0,0
C3_real,4.614,4.461,4.141,0,0
C3_real,4.005,3.872,5.752,1,1
C3_real,4.302,5.798,3.84,1,0
C3_real,3.626,5.976,4.62,0,1
C3_real,4.77,2.415,6.316,1,0
C3_real,4.049,5.935,4.484,0,1
C3_real,2.519,4.5,5.353,0,0
C3_real,4.943,4.47,3.965,0,0
C3_real,3.919,4.625,4.074,0,0
C3_real,5.907,6.136,4.846,1,0
C3_real,4.89,6.328,4.238,1,0
C3_real,4.576,5.354,4.875,0,0
C3_real,5.271,5.814,3.333,0,0
C3_real,5.347,7.0,3.921,1,1
C3_real,4.53,4.966,5.636,0,0
C3_real,4.935,3.922,4.774,1,0
C3_real,3.895,5.534,4.839,0,0
C3_real,5.209,5.723,6.084,1,1
C3_real,4.62,4.82,3.213,0,0
C3_real,3.001,4.785,1.865,0,0
C3_real,6.189,7.0,6.37,0,0
C3_real,4.988,4.718,3.592,1,0
C3_real,5.375,4.053,4.836,1,0
C3_real,2.95,2.176,2.936,0,0
C3_real,3.857,5.85,2.391,0,0
C3_real,7.0,6.327,5.064,0,0
C3_real,3.093,3.767,4.637,0,0
C3_real,4.019,5.606,3.808,1,0
C3_real,4.777,4.641,2.602,1,0
C3_real,4.109,5.067,4.731,0,1
C3_real,4.553,4.383,6.101,0,0
C3_real,3.32,4.99,2.927,0,0
C3_real,3.372,5.91,4.932,1,0
C3_real,3.773,4.47,4.631,0,0
C3_real,4.74,4.295,3.141,1,1
C3_real,4.002,3.949,5.267,0,0
C3_real,5.94,6.187,5.033,0,0
C3_real,3.88,4.134,4.32,1,0
C3_real,4.874,5.661,5.674,1,0
C3_real,3.161,3.705,4.301,0,0
C3_real,2.32,2.775,5.114,1,0
C3_real,3.188,4.421,6.378,1,0
C3_real,3.877,5.255,4.608,1,1
C3_real,6.576,6.145,5.384,0,0
C3_real,3.695,5.844,3.943,0,0
C3_real,3.84,5.347,5.662,0,0
C3_real,4.573,2.4,3.614,1,0
C3_real,4.09,5.515,4.083,0,1
C3_real,4.335,3.463,4.503,1,0
C3_real,2.227,4.281,3.944,1,0
C3_real,4.378,6.884,3.993,1,0
C3_real,5.309,6.062,5.47,0,1
C3_real,2.56,3.884,3.915,0,0
C3_real,4.462,4.653,2.86,0,1
C3_real,4.814,5.841,5.587,1,0
C3_real,3.916,4.864,5.846,0,0
C3_real,4.132,4.792,4.062,0,0
C3_real,4.584,3.844,5.695,0,0
C3_real,4.636,5.583,4.193,1,1
C3_real,5.572,5.722,4.031,1,0
C3_real,4.785,4.186,3.915,1,0
C3_real,4.913,2.899,5.991,0,1
C3_real,4.853,6.916,5.762,1,1
C3_real,4.306,4.29,5.104,1,0
C3_real,3.736,5.462,3.612,1,1
C3_real,4.625,4.131,5.257,1,0
C3_real,3.541,4.247,3.51,1,0
C3_real,5.381,6.03,5.284,1,0
C3_real,4.088,4.697,4.063,0,0
C3_real,4.636,5.837,4.164,1,1
C3_real,4.986,5.862,4.279,0,1
C3_real,3.613,4.493,2.736,0,0
C3_real,4.013,5.339,3.078,1,0
C3_real,4.253,5.843,4.416,1,1
C3_real,4.518,6.334,3.734,0,0
C3_real,4.873,4.755,5.33,1,0
C3_real,4.131,5.046,5.449,0,0
C3_real,3.576,4.053,3.139,0,0
C3_real,5.481,5.856,3.6,0,0
C3_real,5.084,5.144,4.583,1,0
C3_real,3.764,3.644,5.983,0,0
C3_real,6.4,4.675,4.376,1,0
C3_real,3.518,4.921,4.769,0,0
C3_real,5.573,4.426,3.499,0,1
C3_real,4.373,4.29,3.828,1,1
